Comment,Designator,Footprint,LCSC,Quantity
1000 uF,C5,CP_Radial_D10.0mm_P5.00mm,C10750,1
Barrel_Jack_Switch,J1,BarrelJack_CLIFF_FC681465S_SMT_Horizontal,C113716,1
0.001 uF,C11,C_0402_1005Metric,C1523,1
4.7 uH,"L1,L3",L_Changjiang_FXL0530,C177246,2
AP63205WU,U2,TSOT-23-6,C2071056,1
SS24,"D1,D3",D_SMA,C2762829,2
Conn_01x02_Pin,"J2,J21",PinHeader_1x02_P2.54mm_Vertical,C2905434,2
Conn_01x04_Pin,"J12,J13,J14,J15,J8",PinHeader_1x04_P2.54mm_Vertical,C2905435,5
Conn_01x03_Pin,J9,PinHeader_1x03_P2.54mm_Vertical,C2932698,1
Conn_01x05_Pin,"J10,J11,J16,J17,J18,J19,J20,J6",PinHeader_1x05_P2.54mm_Vertical,C2932699,8
Conn_01x19_Socket,"J3,J4,J5,J7",PinHeader_1x19_P2.54mm_Vertical,C2932706,4
0.1 uF,"C12,C13,C2,C6,C7,C8",C_0402_1005Metric,C307331,6
10 uF,C1,CP_Radial_D4.0mm_P1.50mm,C43351,1
22 uF,"C10,C3,C4,C9",C_0805_2012Metric,C45783,4
AP63203WU,U1,TSOT-23-6,C780769,1
