Time,Pressure,Oscillation Frequency,Sustain Time
11:43:42.35,0,0,0
11:43:42.44,0,0,0
11:43:42.49,0,0,0
11:43:42.52,0,0,0
11:43:42.59,0,0,0
11:43:42.62,0,0,0
11:43:42.69,0,0,0
11:43:42.73,0,0,0
11:43:42.78,0,0,0
11:43:42.84,0,0,0
11:43:42.87,0,0,0
11:43:42.92,0,0,0
11:43:42.97,0,0,0
11:43:43.01,0,0,0
11:43:43.06,0,0,0
11:43:43.12,0,0,0
11:43:43.15,0,0,0
11:43:43.21,0,0,0
11:43:43.25,0,0,0
11:43:43.30,0,0,0
11:43:43.34,0,0,0
11:43:43.40,0,0,0
11:43:43.45,0,0,0
11:43:43.50,0,0,0
11:43:43.55,0,0,0
11:43:43.61,0,0,0
11:43:43.68,0,0,0
11:43:43.82,0,0,0
11:43:43.89,0,0,0
11:43:43.94,0,0,0
11:43:43.98,0,0,0
11:43:44.06,0,0,0
11:43:44.11,0,0,0
11:43:44.16,0,0,0
11:43:44.21,0,0,0
11:43:44.25,0,0,0
11:43:44.30,0,0,0
11:43:44.36,0,0,0
11:43:44.40,0,0,0
11:43:44.45,0,0,0
11:43:44.50,0,0,0
11:43:44.56,0,0,0
11:43:44.61,0,0,0
11:43:44.66,0,0,0
11:43:44.71,0,0,0
11:43:44.75,0,0,0
11:43:44.80,0,0,0
11:43:44.85,0,0,0
11:43:44.90,0,0,0
11:43:44.98,0,0,0
11:43:45.04,0,0,0
11:43:45.10,0,0,0
11:43:45.15,0,0,0
11:43:45.19,0,0,0
11:43:45.25,0,0,0
11:43:45.29,0,0,0
11:43:45.34,0,0,0
11:43:45.39,0,0,0
11:43:45.44,0,0,0
11:43:45.48,0,0,0
11:43:45.55,0,0,0
11:43:45.60,0,0,0
11:43:45.64,0,0,0
11:43:45.69,0,0,0
11:43:45.74,0,0,0
11:43:45.77,0,0,0
11:43:45.83,0,0,0
11:43:45.87,0,0,0
11:43:45.91,0,0,0
11:43:45.97,0,0,0
11:43:46.04,0,0,0
11:43:46.09,0,0,0
11:43:46.14,0,0,0
11:43:46.18,0,0,0
11:43:46.22,0,0,0
11:43:46.29,0,0,0
11:43:46.35,0,0,0
11:43:46.39,0,0,0
11:43:46.45,0,0,0
11:43:46.50,0,0,0
11:43:46.55,0,0,0
11:43:46.59,0,0,0
11:43:46.63,0,0,0
11:43:46.67,0,0,0
11:43:46.74,0,0,0
11:43:46.79,0,0,0
11:43:46.82,0,0,0
11:43:46.88,0,0,0
11:43:46.93,0,0,0
11:43:47.00,0,0,0
11:43:47.06,0,0,0
11:43:47.11,0,0,0
11:43:47.17,0,0,0
11:43:47.22,0,0,0
11:43:47.28,0,0,0
11:43:47.31,0,0,0
11:43:47.36,0,0,0
11:43:47.41,0,0,0
11:43:47.46,0,0,0
11:43:47.51,0,0,0
11:43:47.56,0,0,0
11:43:47.60,0,0,0
11:43:47.65,0,0,0
11:43:47.71,0,0,0
11:43:47.76,0,0,0
11:43:47.81,0,0,0
