Time,Pressure
17:12:31.18,ets Jul 29 2019 12:21:46
17:12:31.18,rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
17:12:31.18,configsip: 0, SPIWP:0xee
17:12:31.19,clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
17:12:31.19,mode:DIO, clock div:1
17:12:31.20,load:0x3fff0030,len:4916
17:12:31.20,load:0x40078000,len:16436
17:12:31.20,load:0x40080400,len:4
17:12:31.20,ho 8 tail 4 room 4
17:12:31.20,load:0x40080404,len:3524
17:12:31.20,entry 0x400805b8
17:12:31.36,Pressure sensor found at 0x28.
17:12:31.36,0.102
17:12:31.46,0.208
17:12:31.56,0.319
17:12:31.66,0.435
17:12:31.76,0.509
17:12:31.86,0.553
17:12:31.96,0.576
17:12:32.06,0.581
17:12:32.16,0.602
17:12:32.26,0.541
17:12:32.36,0.291
17:12:32.46,0.234
17:12:32.56,0.117
17:12:32.66,0.000
17:12:32.76,0.000
17:12:32.86,0.000
17:12:32.96,0.000
17:12:33.06,0.000
17:12:33.16,0.000
17:12:33.26,0.000
17:12:33.36,0.000
17:12:33.46,0.006
17:12:33.56,0.092
17:12:33.66,0.177
17:12:33.76,0.268
17:12:33.86,0.386
17:12:33.96,0.479
17:12:34.06,0.533
17:12:34.16,0.567
17:12:34.26,0.592
17:12:34.36,0.599
17:12:34.46,0.607
17:12:34.56,0.343
17:12:34.66,0.248
17:12:34.76,0.172
17:12:34.86,0.062
17:12:34.96,0.000
17:12:35.06,0.000
17:12:35.16,0.000
17:12:35.26,0.000
17:12:35.36,0.000
17:12:35.46,0.000
17:12:35.56,0.000
17:12:35.66,0.000
17:12:35.76,0.074
17:12:35.86,0.108
17:12:35.96,0.223
17:12:36.05,0.344
17:12:36.16,0.453
17:12:36.26,0.525
17:12:36.36,0.559
17:12:36.46,0.581
17:12:36.56,0.595
17:12:36.66,0.615
17:12:36.76,0.447
17:12:36.86,0.270
17:12:36.95,0.227
17:12:37.06,0.105
17:12:37.16,0.000
17:12:37.26,0.000
17:12:37.36,0.000
17:12:37.46,0.000
17:12:37.56,0.000
17:12:37.66,0.000
17:12:37.76,0.000
17:12:37.86,0.000
17:12:37.96,0.040
17:12:38.06,0.113
17:12:38.16,0.202
17:12:38.26,0.310
17:12:38.36,0.425
17:12:38.45,0.500
17:12:38.56,0.545
17:12:38.64,0.566
17:12:38.76,0.585
17:12:38.86,0.613
17:12:38.96,0.564
17:12:39.05,0.301
17:12:39.16,0.237
17:12:39.26,0.133
17:12:39.34,0.000
17:12:39.44,0.000
17:12:39.56,0.000
17:12:39.66,0.000
17:12:39.76,0.000
17:12:39.86,0.000
17:12:39.96,0.000
17:12:40.06,0.000
17:12:40.16,0.000
17:12:40.26,0.087
17:12:40.35,0.165
17:12:40.44,0.254
17:12:40.54,0.372
17:12:40.66,0.467
17:12:40.76,0.524
17:12:40.86,0.562
17:12:40.94,0.592
17:12:41.06,0.604
17:12:41.14,0.606
17:12:41.24,0.372
17:12:41.35,0.255
17:12:41.45,0.221
17:12:41.56,0.082
17:12:41.65,0.000
17:12:41.76,0.000
17:12:41.86,0.000
17:12:41.95,0.000
17:12:42.06,0.000
17:12:42.16,0.000
17:12:42.26,0.000
17:12:42.36,0.000
17:12:42.46,0.064
17:12:42.55,0.112
17:12:42.66,0.215
17:12:42.76,0.336
17:12:42.86,0.442
17:12:42.96,0.515
17:12:43.06,0.551
17:12:43.16,0.570
17:12:43.26,0.580
17:12:43.36,0.603
17:12:43.46,0.495
17:12:43.55,0.278
17:12:43.66,0.229
17:12:43.76,0.112
17:12:43.86,0.000
17:12:43.96,0.000
17:12:44.06,0.000
17:12:44.16,0.000
17:12:44.26,0.000
17:12:44.36,0.000
17:12:44.45,0.000
17:12:44.56,0.000
17:12:44.65,0.022
17:12:44.76,0.096
17:12:44.86,0.187
17:12:44.96,0.282
17:12:45.06,0.396
17:12:45.15,0.488
17:12:45.25,0.543
17:12:45.36,0.570
17:12:45.45,0.587
17:12:45.55,0.595
17:12:45.66,0.596
17:12:45.75,0.327
17:12:45.86,0.244
17:12:45.95,0.151
17:12:46.06,0.044
17:12:46.16,0.000
17:12:46.25,0.000
17:12:46.36,0.000
17:12:46.45,0.000
17:12:46.55,0.000
17:12:46.65,0.000
17:12:46.76,0.000
17:12:46.86,0.000
17:12:46.95,0.092
17:12:47.05,0.112
17:12:47.16,0.119
17:12:47.26,0.193
17:12:47.36,0.297
